   0221; ; unassigned
   1774-177F; ; unassigned
   17DD-17DF; ; unassigned
   17EA-17FF; ; unassigned
   180F; ; unassigned
   181A-181F; ; unassigned
   1878-187F; ; unassigned
   18AA-1DFF; ; unassigned
   1E9C-1E9F; ; unassigned
   1EFA-1EFF; ; unassigned
   1F16-1F17; ; unassigned
   1F1E-1F1F; ; unassigned
   1F46-1F47; ; unassigned
   1F4E-1F4F; ; unassigned
   1F58; ; unassigned
   1F5A; ; unassigned
   1F5C; ; unassigned
   1F5E; ; unassigned
   1F7E-1F7F; ; unassigned
   1FB5; ; unassigned
   1FC5; ; unassigned
   1FD4-1FD5; ; unassigned
   1FDC; ; unassigned
   1FF0-1FF1; ; unassigned
   1FF5; ; unassigned
   1FFF; ; unassigned
   2053-2056; ; unassigned
   2058-205E; ; unassigned
   2064-2069; ; unassigned
   2072-2073; ; unassigned
   208F-209F; ; unassigned
   20B2-20CF; ; unassigned
   20EB-20FF; ; unassigned
   213B-213C; ; unassigned
   214C-2152; ; unassigned
   2184-218F; ; unassigned
   23CF-23FF; ; unassigned
   2427-243F; ; unassigned
   244B-245F; ; unassigned
   24FF; ; unassigned
   2614-2615; ; unassigned
   2618; ; unassigned
   267E-267F; ; unassigned
   268A-2700; ; unassigned
   2705; ; unassigned
   270A-270B; ; unassigned
   2728; ; unassigned
   274C; ; unassigned
   274E; ; unassigned
   2753-2755; ; unassigned
   2757; ; unassigned
   275F-2760; ; unassigned
   2795-2797; ; unassigned
   27B0; ; unassigned
   27BF-27CF; ; unassigned
   27EC-27EF; ; unassigned
   2B00-2E7F; ; unassigned
   2E9A; ; unassigned
   2EF4-2EFF; ; unassigned
   2FD6-2FEF; ; unassigned
   2FFC-2FFF; ; unassigned
   3040; ; unassigned
   3097-3098; ; unassigned
   3100-3104; ; unassigned
   312D-3130; ; unassigned
   318F; ; unassigned
   31B8-31EF; ; unassigned
   321D-321F; ; unassigned
   3244-3250; ; unassigned
   327C-327E; ; unassigned
   32CC-32CF; ; unassigned
   32FF; ; unassigned
   3377-337A; ; unassigned
   33DE-33DF; ; unassigned
   33FF; ; unassigned
   4DB6-4DFF; ; unassigned
   9FA6-9FFF; ; unassigned
   A48D-A48F; ; unassigned
   A4C7-ABFF; ; unassigned
   D7A4-D7FF; ; unassigned
   FA2E-FA2F; ; unassigned
   FA6B-FAFF; ; unassigned
   FB07-FB12; ; unassigned
   FB18-FB1C; ; unassigned
   FB37; ; unassigned
   FB3D; ; unassigned
   FB3F; ; unassigned
   FB42; ; unassigned
   FB45; ; unassigned
   FBB2-FBD2; ; unassigned
   FD40-FD4F; ; unassigned
   FD90-FD91; ; unassigned
   FDC8-FDCF; ; unassigned
   FDFD-FDFF; ; unassigned
   FE10-FE1F; ; unassigned
   FE24-FE2F; ; unassigned
   FE47-FE48; ; unassigned
   FE53; ; unassigned
   FE67; ; unassigned
   FE6C-FE6F; ; unassigned
   FE75; ; unassigned
   FEFD-FEFE; ; unassigned
   FF00; ; unassigned
   FFBF-FFC1; ; unassigned
   FFC8-FFC9; ; unassigned
   FFD0-FFD1; ; unassigned
   FFD8-FFD9; ; unassigned
   FFDD-FFDF; ; unassigned
   FFE7; ; unassigned
   FFEF-FFF8; ; unassigned
   10000-102FF; ; unassigned
   1031F; ; unassigned
   10324-1032F; ; unassigned
   1034B-103FF; ; unassigned
   10426-10427; ; unassigned
   1044E-1CFFF; ; unassigned
   1D0F6-1D0FF; ; unassigned
   1D127-1D129; ; unassigned
   1D1DE-1D3FF; ; unassigned
   1D455; ; unassigned
   1D49D; ; unassigned
   1D4A0-1D4A1; ; unassigned
   1D4A3-1D4A4; ; unassigned
   1D4A7-1D4A8; ; unassigned
   1D4AD; ; unassigned
   1D4BA; ; unassigned
   1D4BC; ; unassigned
   1D4C1; ; unassigned
   1D4C4; ; unassigned
   1D506; ; unassigned
   1D50B-1D50C; ; unassigned
   1D515; ; unassigned
   1D51D; ; unassigned
   1D53A; ; unassigned
   1D53F; ; unassigned
   1D545; ; unassigned
   1D547-1D549; ; unassigned
   1D551; ; unassigned
   1D6A4-1D6A7; ; unassigned
   1D7CA-1D7CD; ; unassigned
   1D800-1FFFD; ; unassigned
   2A6D7-2F7FF; ; unassigned
   2FA1E-2FFFD; ; unassigned
   30000-3FFFD; ; unassigned
   40000-4FFFD; ; unassigned
   50000-5FFFD; ; unassigned
   60000-6FFFD; ; unassigned
   70000-7FFFD; ; unassigned
   80000-8FFFD; ; unassigned
   90000-9FFFD; ; unassigned
   A0000-AFFFD; ; unassigned
   B0000-BFFFD; ; unassigned
   C0000-CFFFD; ; unassigned
   D0000-DFFFD; ; unassigned
   E0000; ; unassigned
   E0002-E001F; ; unassigned
   E0080-EFFFD; ; unassigned
